Date,Week,Opponent,Rec,Yds,TD
Unknown,0,Akron,6,92,2
Unknown,0,Purdue,6,87,1
Unknown,0,Nebraska,3,70,1
Unknown,0,Penn State,4,55,0
Unknown,0,Northwestern,4,100,0
Unknown,0,Iowa,4,89,1
Unknown,0,Indiana,3,34,0
Unknown,0,Michigan,5,35,1
Unknown,0,Michigan State,5,83,1
Unknown,0,Oregon,9,100,1
Unknown,0,Western Michigan,5,119,1
Unknown,0,Marshall,3,70,1
Unknown,0,Tennessee,6,103,2
Unknown,0,Oregon,7,187,2
Unknown,0,Texas,1,3,0
Unknown,0,Notre Dame,5,88,1
