Date,Week,Opponent,Rec,Yds,TD
9999-12-31,0,Unknown,6,92,2
9999-12-31,0,Unknown,6,87,1
9999-12-31,0,Unknown,4,55,0
9999-12-31,0,Unknown,4,100,0
9999-12-31,0,Unknown,3,70,1
9999-12-31,0,Unknown,4,89,1
9999-12-31,0,Unknown,3,34,0
9999-12-31,0,Unknown,5,119,1
9999-12-31,0,Unknown,5,35,1
9999-12-31,0,Unknown,5,83,1
9999-12-31,0,Unknown,3,70,1
9999-12-31,0,Unknown,9,100,1
9999-12-31,0,Unknown,6,103,2
9999-12-31,0,Unknown,7,187,2
9999-12-31,0,Unknown,1,3,0
9999-12-31,0,Unknown,5,88,1
