Date,Week,Opponent,Rec,Yds,TD
2024-08-30,1,North Dakota State,7,132,3
2024-09-07,2,Nebraska,10,110,0
2024-09-14,3,Colorado State,13,100,2
2024-09-22,4,Baylor,7,130,0
2024-09-28,5,UCF,9,89,1
2024-10-13,7,Kansas State,3,26,0
2024-10-19,8,Arizona,2,17,0
2024-10-27,9,Cincinnati,9,153,2
2024-11-09,11,Texas Tech,9,99,1
2024-11-16,12,Utah,5,55,0
2024-11-23,13,Kansas,8,125,2
2024-11-29,14,Oklahoma State,10,116,3
2024-12-29,1,BYU,4,106,1
