reception_player,team,Receptions,Yards,Touchdowns
Pierce Oppong,Northern Illinois,1,2.0,0.0
Ethan Day,North Texas,1,2.0,1.0
Fabian Duncan,Allen,1,2.0,0.0
Riley Rudolfo,Eastern Washington,1,1.0,0.0
Kamario Taylor,Mississippi State,1,1.0,1.0
Kai Acia,UC Davis,1,1.0,0.0
Josiah Johnson,South Dakota State,1,1.0,0.0
Adam Urena,Mercyhurst,1,1.0,1.0
Alejandro Vazquez,Mercyhurst,1,1.0,0.0
Adam Hill,Texas Tech,1,1.0,0.0
Kam Johnson,VMI,1,1.0,0.0
Sam Hedrick,Cal Poly,1,1.0,0.0
Tory Morgan,Grambling,1,1.0,0.0
Joseph Hampton,Savannah St,1,1.0,0.0
Ashton Hayes,Nevada,1,1.0,0.0
Bo Kelly,Cal Poly,1,1.0,1.0
Paul Davis,Virginia St,1,1.0,0.0
Micah Robinson,Bowie State,1,1.0,0.0
Nick Ragano,Furman,1,1.0,0.0
Terrance Shelton Jr.,Buffalo,1,1.0,0.0
Nate Palmer,TCU,1,1.0,0.0
Misa Paiau,Cal Poly,1,1.0,0.0
Malichi Greaves,UConn,2,1.0,0.0
Michael Johnson Jr.,Akron,1,1.0,1.0
Mason Hatfield,Bentley,1,1.0,0.0
Asher Weiner,Princeton,1,1.0,0.0
Ashton Ashford,Alabama State,1,1.0,0.0
Jordan Norwood,Incarnate Word,1,1.0,0.0
Cole Lakatos,Wagner,1,1.0,0.0
Charleston French,North Carolina,1,1.0,0.0
Damarion Collins,Lane College,1,1.0,0.0
Evan Dangler,South Florida,1,1.0,1.0
Eric Denham,Western Illinois,1,1.0,0.0
Chandler Shields,Mercyhurst,1,1.0,0.0
Isaiah Pena,Sul Ross State,1,1.0,0.0
Jahylen Lee,Ferrum,1,1.0,0.0
Christian Langford,Florida International,1,1.0,0.0
Daylon Singleton,SMU,1,1.0,0.0
Jamie Tremble,Syracuse,1,1.0,0.0
Cael Vanderbush,Indiana State,1,1.0,0.0
Damashja Harris,Wyoming,1,1.0,0.0
Chuck Volans,Colgate,1,1.0,0.0
Jay Lindsey,Alabama,1,1.0,0.0
Jaylon Jenkins,Eastern Washington,1,1.0,0.0
Bryce Council,Fayetteville State,1,1.0,0.0
C.J. Carr,Notre Dame,1,1.0,1.0
Colson Coon,Montana State,1,1.0,0.0
Jerrian Parker,Sam Houston,1,1.0,0.0
DJ Samuels,Maryland,1,1.0,0.0
Jayden Milton,Nicholls,1,1.0,0.0
Will O'Dell,Marist,1,1.0,1.0
Preston Ross,Furman,1,0.0,0.0
Noah Dobert,Northern Michigan,1,0.0,0.0
Quinten Johnson,Central State (OH),1,0.0,0.0
Nick Townsend,Texas,1,0.0,0.0
Dekel Crowdus,Wisconsin,1,0.0,0.0
Christian Sabsook,UT Rio Grande Valley,1,0.0,0.0
Andrew Vrbancic,Dayton,1,0.0,0.0
Dylan Lee,Iowa State,1,0.0,0.0
Sawyer Burt,Mercer,1,0.0,0.0
Nathan Henry,Drake,1,0.0,0.0
Sione Moa,UConn,1,0.0,0.0
Floyd Chalk IV,San José State,2,0.0,0.0
Michael Strachan,Southern Connecticut State,1,0.0,0.0
David Prince,Southern,1,0.0,0.0
Yamil Oaxaca,Sul Ross State,1,0.0,0.0
Frank Wilson IV,Grambling,2,0.0,0.0
Blane Cleaver,Bowling Green,1,0.0,0.0
Jerry Richardson,McKendree,1,0.0,0.0
Josiah Lamarque,Cal Poly,1,0.0,0.0
Jay Fair,USC,1,0.0,0.0
Khristian Martin,Maryland,1,0.0,1.0
Boden Gardner,Eastern Washington,1,0.0,0.0
Chase Garnett,South Florida,1,0.0,0.0
Cam Jackson,Northeastern State,1,0.0,0.0
Ja'Khael Rowser,Tuskegee,1,0.0,0.0
Gideon Ituka,Wisconsin,1,0.0,0.0
Lonnie Adkism,Sam Houston,1,0.0,0.0
Isaiah Wright,Villanova,1,0.0,0.0
John-Keawe Sagapolutele,Portland State,1,0.0,0.0
Isaiah Davis,Furman,1,0.0,0.0
Zaire Collier,UC Davis,1,0.0,0.0
Hayden Reed,Army,1,-1.0,0.0
Joe Williams,Mississippi Valley State,1,-1.0,0.0
Cace Reed,Southern Miss,1,-1.0,0.0
Zyaire Williams,Savannah St,1,-1.0,0.0
Ryan Kennedy,Villanova,1,-1.0,0.0
Damien Moore,Lamar,1,-1.0,0.0
Clark Rexroat,Hanover College,1,-1.0,0.0
Caleb Williams,Pittsburgh,2,-1.0,0.0
Kyai Cook,Brown,2,-2.0,0.0
Le'Veon Moss,Texas A&M,1,-2.0,0.0
Jaleb Tupuola,Lane College,1,-2.0,0.0
Terrence Enos Jr.,Kansas State,1,-3.0,0.0
Nick Marinaro,Ohio,1,-4.0,0.0
Robert Freeman IV,Idaho State,1,-6.0,0.0
