Date,Opponent,Team_Trips,Team_Conv,Pl_Opps,Pl_Yds,Pl_TDs
2024-08-31,Akron,0,0%,2,25,2
2024-09-28,Michigan State,0,0%,3,42,2
2024-10-12,Oregon,0,0%,1,6,1
2024-11-09,Purdue,0,0%,1,17,1
2024-11-16,Northwestern,0,0%,1,2,0
2024-11-23,Indiana,0,0%,1,0,0
2024-11-30,Michigan,0,0%,1,10,1
2025-01-21,Notre Dame,0,0%,1,8,1
